Date,Open,High,Low,Close,Volume,,,,,,,,,,,,,,,,,,,,
2010. 12. 21 오후 3:30:00,2035.11,2043.81,2032.66,2037.09,368666,,,,,,,,,,,,,,,,,,,,
2010. 12. 22 오후 3:30:00,2039.35,2045.39,2035.25,2038.11,332363,,,,,,,,,,,,,,,,,,,,
2010. 12. 23 오후 3:30:00,2042.41,2043.62,2028.78,2037.53,339010,,,,,,,,,,,,,,,,,,,,
2010. 12. 24 오후 3:30:00,2040.64,2042.89,2027.96,2029.6,316155,,,,,,,,,,,,,,,,,,,,
2010. 12. 27 오후 3:30:00,2024.56,2034.62,2018.75,2022.19,279126,,,,,,,,,,,,,,,,,,,,
2010. 12. 28 오후 3:30:00,2028.41,2041.83,2026.57,2033.32,357317,,,,,,,,,,,,,,,,,,,,
2010. 12. 29 오후 3:30:00,2028.57,2043.49,2027.52,2043.49,281229,,,,,,,,,,,,,,,,,,,,
2010. 12. 30 오후 3:30:00,2047.82,2052.97,2041.66,2051,304336,,,,,,,,,,,,,,,,,,,,
2011. 1. 3 오후 3:30:00,2063.69,2070.09,2054.83,2070.08,348185,,,,,,,,,,,,,,,,,,,,
2011. 1. 4 오후 3:30:00,2074.56,2085.14,2069.12,2085.14,410968,,,,,,,,,,,,,,,,,,,,
2011. 1. 5 오후 3:30:00,2083.1,2087.14,2076.92,2082.55,382996,,,,,,,,,,,,,,,,,,,,
2011. 1. 6 오후 3:30:00,2094.35,2096.65,2066.1,2077.61,405395,,,,,,,,,,,,,,,,,,,,
2011. 1. 7 오후 3:30:00,2073.68,2086.2,2068.66,2086.2,333806,,,,,,,,,,,,,,,,,,,,
2011. 1. 10 오후 3:30:00,2082.29,2088.64,2069.3,2080.81,340785,,,,,,,,,,,,,,,,,,,,
2011. 1. 11 오후 3:30:00,2079.85,2088.32,2059.67,2088.32,408183,,,,,,,,,,,,,,,,,,,,
2011. 1. 12 오후 3:30:00,2091.7,2098,2085.99,2094.95,427289,,,,,,,,,,,,,,,,,,,,
2011. 1. 13 오후 3:30:00,2097.04,2109.34,2083.8,2089.48,421886,,,,,,,,,,,,,,,,,,,,
2011. 1. 14 오후 3:30:00,2089.7,2108.17,2076.44,2108.17,422593,,,,,,,,,,,,,,,,,,,,
2011. 1. 17 오후 3:30:00,2112.37,2118.86,2099.84,2099.85,426689,,,,,,,,,,,,,,,,,,,,
2011. 1. 18 오후 3:30:00,2095.85,2111.4,2093.32,2096.48,450898,,,,,,,,,,,,,,,,,,,,
2011. 1. 19 오후 3:30:00,2106.53,2119.24,2084.08,2115.69,423851,,,,,,,,,,,,,,,,,,,,
2011. 1. 20 오후 3:30:00,2106.53,2119.24,2084.08,2106.66,333163,,,,,,,,,,,,,,,,,,,,
2011. 1. 21 오후 3:30:00,2103.74,2104.39,2066.82,2069.92,393716,,,,,,,,,,,,,,,,,,,,
2011. 1. 24 오후 3:30:00,2067.32,2082.97,2064,2082.16,338865,,,,,,,,,,,,,,,,,,,,
2011. 1. 25 오후 3:30:00,2092.27,2105.33,2083.8,2086.67,400886,,,,,,,,,,,,,,,,,,,,
2011. 1. 26 오후 3:30:00,2093.59,2112.33,2092.41,2110.46,360032,,,,,,,,,,,,,,,,,,,,
2011. 1. 27 오후 3:30:00,2115.04,2121.06,2108.53,2115.01,352405,,,,,,,,,,,,,,,,,,,,
2011. 1. 28 오후 3:30:00,2115.69,2119.49,2095.36,2107.87,403415,,,,,,,,,,,,,,,,,,,,
2011. 1. 31 오후 3:30:00,2080.6,2089.72,2069.73,2069.73,320903,,,,,,,,,,,,,,,,,,,,
2011. 2. 1 오후 3:30:00,2079.92,2086.56,2071.73,2072.03,290810,,,,,,,,,,,,,,,,,,,,
2011. 2. 7 오후 3:30:00,2102.76,2107.83,2081.73,2081.74,285935,,,,,,,,,,,,,,,,,,,,
2011. 2. 8 오후 3:30:00,2090.47,2092.43,2066.71,2069.7,300331,,,,,,,,,,,,,,,,,,,,
2011. 2. 9 오후 3:30:00,2077.12,2077.12,2037.3,2045.58,333190,,,,,,,,,,,,,,,,,,,,
2011. 2. 10 오후 3:30:00,2041.07,2043.07,2008.5,2008.5,309759,,,,,,,,,,,,,,,,,,,,
2011. 2. 11 오후 3:30:00,2010.29,2021.42,1975.47,1977.19,317288,,,,,,,,,,,,,,,,,,,,
2011. 2. 14 오후 3:30:00,1999.09,2015.84,1986.94,2014.59,279514,,,,,,,,,,,,,,,,,,,,
2011. 2. 15 오후 3:30:00,2018.4,2029.99,2003.58,2010.52,275028,,,,,,,,,,,,,,,,,,,,
2011. 2. 16 오후 3:30:00,2007.08,2021.69,1989.11,1989.11,297634,,,,,,,,,,,,,,,,,,,,
2011. 2. 17 오후 3:30:00,2002,2006.59,1959.71,1977.22,340275,,,,,,,,,,,,,,,,,,,,
2011. 2. 18 오후 3:30:00,1989.24,2015.78,1981.75,2013.14,493969,,,,,,,,,,,,,,,,,,,,
2011. 2. 21 오후 3:30:00,2014.15,2014.98,1991.7,2005.3,324237,,,,,,,,,,,,,,,,,,,,
2011. 2. 22 오후 3:30:00,1978.34,1982.7,1958.77,1969.92,346086,,,,,,,,,,,,,,,,,,,,
2011. 2. 23 오후 3:30:00,1962.7,1977.99,1951.75,1961.63,308585,,,,,,,,,,,,,,,,,,,,
2011. 2. 24 오후 3:30:00,1957.63,1970.66,1945.41,1949.88,281574,,,,,,,,,,,,,,,,,,,,
2011. 2. 25 오후 3:30:00,1956.12,1965.48,1941.15,1963.43,306887,,,,,,,,,,,,,,,,,,,,
2011. 2. 28 오후 3:30:00,1954.4,1958.59,1935.93,1939.3,263868,,,,,,,,,,,,,,,,,,,,
2011. 3. 2 오후 3:30:00,1922.38,1940.78,1921.34,1928.24,207670,,,,,,,,,,,,,,,,,,,,
2011. 3. 3 오후 3:30:00,1942.24,1970.66,1941.23,1970.66,284828,,,,,,,,,,,,,,,,,,,,
2011. 3. 4 오후 3:30:00,1989.88,2008.89,1984.15,2004.68,334578,,,,,,,,,,,,,,,,,,,,
2011. 3. 7 오후 3:30:00,1996.48,2005.43,1978.13,1980.27,255919,,,,,,,,,,,,,,,,,,,,
2011. 3. 8 오후 3:30:00,1984.08,2007.24,1974.73,1996.32,304750,,,,,,,,,,,,,,,,,,,,
2011. 3. 9 오후 3:30:00,2007.79,2016.68,1991.52,2001.47,315357,,,,,,,,,,,,,,,,,,,,
2011. 3. 10 오후 3:30:00,1999.38,2001.27,1973.88,1981.58,288387,,,,,,,,,,,,,,,,,,,,
2011. 3. 11 오후 3:30:00,1956.34,1970.7,1949.32,1955.54,267174,,,,,,,,,,,,,,,,,,,,
2011. 3. 14 오후 3:30:00,1949.08,1971.23,1928.99,1971.23,388621,,,,,,,,,,,,,,,,,,,,
2011. 3. 15 오후 3:30:00,1966.82,1985.82,1882.09,1923.92,403890,,,,,,,,,,,,,,,,,,,,
2011. 3. 16 오후 3:30:00,1951.68,1965.15,1931.38,1957.97,284415,,,,,,,,,,,,,,,,,,,,
